frame tid label truncated occluded alpha l t r b w3d h3d l3d x3d y3d z3d ry rx rz truncr occupr orig_label moving model color
0 0 Car 0 1 -1.599426 695 208 809 310 1.542243 1.373864 3.558456 2.112634 1.762792 12.15266 -1.427305 -0.008451647 0.02292172 0 0.7300482 Car 1 Hybrid Silver
0 1 Car 1 1 -0.9268279 0 193 204 319 1.557512 1.423651 4.097414 -7.823057 1.515589 10.23694 -1.579354 -0.004881742 0.02393734 0.1999115 0.649821 Car 1 Sedan4Door Black
0 2 Car 0 1 -1.211368 295 186 395 243 1.572317 1.57791 3.721744 -8.197063 1.565502 21.80713 -1.570917 -0.005083558 0.02389531 0 0.5515789 Car 1 Hatchback Blue
0 3 Car 0 1 -1.300405 354 195 493 281 1.631888 1.458973 3.823094 -3.767756 1.633677 14.39861 -1.556342 -0.005431359 0.02381867 0 0.6133512 Car 1 Hatchback Red
0 4 Car 0 1 -1.408629 472 190 537 240 1.611452 1.566089 3.422526 -3.922839 1.682721 24.76922 -1.5657 -0.005208185 0.02386846 0 0.6744615 Car 1 Hybrid White
0 5 DontCare 0 2 -1.68694 675 198 743 249 1.659019 1.460483 4.041921 2.730218 1.834895 23.4262 -1.570917 -0.005083558 0.02389531 0 0.3376586 Car 1 Hatchback Grey
0 7 DontCare 0 2 -1.445627 503 192 551 227 1.606996 1.470142 4.161203 -4.231147 1.717378 33.03149 -1.573028 -0.005033108 0.02390598 0 0.2761905 Car 1 SUV Black
0 8 DontCare 0 2 -1.341247 432 191 479 220 1.529386 1.404579 3.737475 -8.46515 1.637932 37.30642 -1.564377 -0.005239757 0.02386155 0 0.3000734 Car 0 Hatchback Silver
0 13 DontCare 0 1 -1.489704 544 193 570 211 1.607382 1.358123 3.755814 -4.808912 1.815268 54.99105 -1.576931 -0.004939748 0.02392544 0 0.6666667 Car 1 Sedan4Door White
0 16 Car 0 1 -1.576792 598 191 631 221 1.683922 1.579228 3.952212 -0.378664 1.849331 40.87184 -1.586056 -0.004721179 0.02396952 0 0.7858586 Car 1 Hybrid Silver
0 126 Car 0 1 -1.643161 659 195 690 223 1.413444 1.441238 3.410615 2.927078 1.926172 40.44619 -1.570917 -0.005083558 0.02389531 0 0.516129 Car 1 Hatchback Blue
0 127 DontCare 0 1 -1.612843 639 193 665 216 1.535626 1.5 3.564522 2.072428 1.951302 49.40239 -1.570917 -0.005083558 0.02389531 0 0.5852843 Car 1 Hatchback Blue
0 128 DontCare 1 2 2.253866 0 156 81 217 2.082844 2.467471 6.5 -25.43629 1.193434 29.65966 1.544973 0.004467667 -0.02401805 0.5014225 0.4096337 Van 0 MCP2_Ambulance_A Blue
1 0 Car 0 1 -1.607681 698 208 813 310 1.542243 1.373864 3.558456 2.147183 1.760153 12.11196 -1.432225 -0.00807499 0.02294028 0 0.7299233 Car 1 Hybrid Silver
1 1 Car 1 1 -0.9189167 0 193 198 322 1.557512 1.423651 4.097414 -7.821117 1.51263 10.06697 -1.579418 -0.004622655 0.02387646 0.243183 0.6366768 Car 1 Sedan4Door Black
